id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/41679756,Review Article,Shakespeare Quarterly,2012,,article,jstor,2012-07-01,2,63,http://www.jstor.org/stable/41679756,Judith Owens,Folger Shakespeare Library,eng,261,264,,1476,4,unigram; bigram; trigram
http://www.jstor.org/stable/2871426,Review Article,Shakespeare Quarterly,1993,,article,jstor,1993-10-01,3,44,http://www.jstor.org/stable/2871426,W. B. Worthen,Folger Shakespeare Library,eng,365,367,,1187,3,unigram; bigram; trigram
http://www.jstor.org/stable/3844161,Review Article,Shakespeare Quarterly,2004,,article,jstor,2004-10-01,3,55,http://www.jstor.org/stable/3844161,Roslyn L. Knutson,Folger Shakespeare Library,eng,343,345,,1635,3,unigram; bigram; trigram
http://www.jstor.org/stable/2868696,"[Illustration]: Woodcut Illustration of Plautus' Captivi (Venice, 1518)",Shakespeare Quarterly,1970,,article,jstor,1970-07-01,3,21,http://www.jstor.org/stable/2868696,,Folger Shakespeare Library,eng,,,,45,1,unigram; bigram; trigram
http://www.jstor.org/stable/2871004,"The Topos of ""Inversion of Values"" in Hero's Depiction of Beatrice",Shakespeare Quarterly,1993,,article,jstor,1993-12-01,4,44,http://www.jstor.org/stable/2871004,Donald McGrady,Folger Shakespeare Library,eng,472,476,,3415,5,unigram; bigram; trigram
http://www.jstor.org/stable/2868404,"[Illustration]: Woodcut Illustration of Plautus' Asinaria, fol. LXIII",Shakespeare Quarterly,1970,,article,jstor,1970-01-01,1,21,http://www.jstor.org/stable/2868404,,Folger Shakespeare Library,eng,76,76,,35,1,unigram; bigram; trigram
http://www.jstor.org/stable/2868268,Macbeth: The Nemesis of the Post-Shakespearian Actor,Shakespeare Quarterly,1965,,article,jstor,1965-04-01,2,16,http://www.jstor.org/stable/2868268,Elizabeth Nielsen,Folger Shakespeare Library,eng,193,199,,3974,7,unigram; bigram; trigram
http://www.jstor.org/stable/2867810,[Illustration]: The Actaeon Myth,Shakespeare Quarterly,1963,,article,jstor,1963-07-01,3,14,http://www.jstor.org/stable/2867810,,Folger Shakespeare Library,eng,252,252,,112,1,unigram; bigram; trigram
http://www.jstor.org/stable/2870442,Front Matter,Shakespeare Quarterly,1990,,article,jstor,1990-07-01,2,41,http://www.jstor.org/stable/2870442,,Folger Shakespeare Library,eng,i,ii,,684,4,unigram; bigram; trigram
http://www.jstor.org/stable/2870071,The Wrong Way and the Right Way,Shakespeare Quarterly,1984,,article,jstor,1984-01-01,,5,http://www.jstor.org/stable/2870071,Kenneth Muir,Folger Shakespeare Library,eng,642,643,,739,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867336,[Illustration]: Nine pins. From Le Centre de l'Amour Decouvert subs Divers Emblesmes Galans et Facetieux,Shakespeare Quarterly,1958,,article,jstor,1958-07-01,3,9,http://www.jstor.org/stable/2867336,,Folger Shakespeare Library,eng,346,346,,78,1,unigram; bigram; trigram
http://www.jstor.org/stable/2869138,Freeing Shakespeare,Shakespeare Quarterly,1978,,article,jstor,1978-04-01,2,29,http://www.jstor.org/stable/2869138,Marvin Rosenberg,Folger Shakespeare Library,eng,314,314,,590,1,unigram; bigram; trigram
http://www.jstor.org/stable/2869753,Utah Shakespearean Festival,Shakespeare Quarterly,1982,,article,jstor,1982-10-01,3,33,http://www.jstor.org/stable/2869753,Barry Weller,Folger Shakespeare Library,eng,377,379,,2079,3,unigram; bigram; trigram
http://www.jstor.org/stable/2867687,Back Matter,Shakespeare Quarterly,1965,,article,jstor,1965-10-01,4,16,http://www.jstor.org/stable/2867687,,Folger Shakespeare Library,eng,370,370,,541,1,unigram; bigram; trigram
http://www.jstor.org/stable/2870411,Review Article,Shakespeare Quarterly,1987,,article,jstor,1987-04-01,1,38,http://www.jstor.org/stable/2870411,Richard C. McCoy,Folger Shakespeare Library,eng,107,109,,1285,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866777,Notes and Comments,Shakespeare Quarterly,1953,,article,jstor,1953-07-01,3,4,http://www.jstor.org/stable/2866777,,Folger Shakespeare Library,eng,367,367,,393,1,unigram; bigram; trigram
http://www.jstor.org/stable/2868009,[Illustration]: A Portion of A Prospect of London and Westminster (1682),Shakespeare Quarterly,1962,,article,jstor,1962-10-01,4,13,http://www.jstor.org/stable/2868009,,Folger Shakespeare Library,eng,,,,82,1,unigram; bigram; trigram
