id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/pjbqwj6sxt1,Abstracts,International Journal of Mental Health Nursing,2024,10.1111/inm.13368,article,abstract,portico,,2024-07-01,S1,33,http://doi.org/10.1111/inm.13368,,"John Wiley & Sons, Inc.",eng,3,172,,control group; students; ideological; experimental group; anxiety; political education; psychological; mental; ideological and political; emotional,140718,170,unigram; bigram; trigram
ark://27927/pjbj140cxtc,5. Sahq: Queer Femme Futures,Between Banat,2023,,chapter,,portico,,2023-01-01,,,,"Shomali, Mejdulene Bernard",Duke University Press,eng,,,,queer arab; respectability; bar bahar; palestinian; authenticity; collective; transnational; sexual; nöl collective; queerness,18078,37,unigram; bigram; trigram
ark://27927/pjbfnr69696,Introduction,Writing and Rewriting the Reich,2022,,chapter,,portico,,2022-01-01,,,,"Barton, Deborah",University of Toronto Press,eng,,,,women journalists; female journalists; third reich; regime; kardorff; germany; journalism; nazi propaganda; gender; nazi germany,7533,16,unigram; bigram; trigram
ark://27927/phzks3v7crv,Continuity and change in popular music curation: Exhibiting the musical past in Liverpool,Popular Music History,2020,10.1558/pomh.40022,article,null,portico,,2020-12-31,Special Issue : Popular Music and Curation,13,http://doi.org/10.1558/pomh.40022,Sara Cohen,Equinox Publishing,eng,38,57,,popular music; curation; music curation; exhibitions; equinox publishing; popular music curation; harmonious relations; museums; liverpool; music history,10590,20,unigram; bigram; trigram
ark://27927/pgg2rg7njks,Authenticity and Respect: Leading Creative Teams in the Performing Arts,Creativity and Innovation Management,2013,10.1111/caim.12004,article,,portico,,2013-09-01,3,22,http://doi.org/10.1111/caim.12004,Dagmar Abfalter,"John Wiley & Sons, Inc.",eng,295,306,,leadership; performing arts; creative; leaders; artistic; theatre; creative teams; success; avolio; leading creative,8351,12,unigram; bigram; trigram
ark://27927/pjbfns59z9j,Index,Race under Reconstruction in German Cinema,2011,,chapter,,portico,,2011-01-01,,,,"Fenner, Angelica",University of Toronto Press,eng,,,,fassbinder rainer; kaufmann günther; rainer werner; fassbinder rainer werner; also fassbinder; robert adolf; werner kaufmann; also fassbinder rainer; german; werner kaufmann günther,16677,29,unigram; bigram; trigram
ark://27927/pbf35h9tb,Strategic Innovation in Small Firms,Elgar E-Books,2011,10.4337/9781781003022,book,,portico,,2011-08-31,,,http://doi.org/10.4337/9781781003022,Tim  Mazzarol; Sophie  Reboud,Edward Elgar Publishing,eng,,,,innovation; small firms; entrepreneurship; tim mazzarol; strategic; management; strategic innovation; business; innovation management; research,151870,464,unigram; bigram; trigram
http://www.jstor.org/stable/10.5250/studamerindilite.30.2.0079,Remediating the “Famous Indian Artist”: Native Aesthetics beyond Tourism and Tragedy,Studies in American Indian Literatures,2018,,article,research-article,jstor,,2018-07-01,2,30,http://www.jstor.org/stable/10.5250/studamerindilite.30.2.0079,Joshua Miner,University of Nebraska Press,en,79,105,,native; indian; indigenous; aesthetic; artists; indian artist; native artists; picturesque; native aesthetics; famous indian,10167,27,unigrams; bigrams; trigrams
ark://27927/pbd860t5jr,Introduction: Making Movies and Incorporating Gender,Women Filmmakers in Early Hollywood,2006,,chapter,,portico,,2006-01-01,,,,"Mahar, Karen Ward",The Johns Hopkins University Press,eng,1,8,,film industry; filmmakers; women filmmakers; lois weber; female; woman filmmaker; female filmmaker; movies; american film; gender,3133,8,unigram; bigram; trigram
ark://27927/pgj2g6b044v,"Musique concrète, French New Wave cinema, and Jean Cocteau's Le Testament d'Orphée (1960)",twentieth-century music,2015,10.1017/S1478572215000031,article,,portico,,2015-08-26,2,12,http://doi.org/10.1017/S1478572215000031,LAURA ANDERSON,Cambridge University Press,eng,197,224,,musique concrète; cocteau; new wave; cinema; jean cocteau; wave cinema; orphée; concrète french; schaeffer; testament,15972,28,unigram; bigram; trigram
